,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.7402542316006907,0.02628248743382425,0.7350149148434776,0.028282027258155318
proposed,0.7379929882102859,0.02398846286097512,0.733518463940112,0.02665537580011977
rf,0.5219873188509467,0.012119766359756971,0.20641398348720053,0.06232938299638983
nb,0.6660784061832112,0.024298103222113367,0.6043023780294278,0.04011543570762123
log+nb,0.7368288430093853,0.028412511585470927,0.7186781006399403,0.03606560382502611
sm+nb,0.6934830804415903,0.02581524575395528,0.6502675438187595,0.03747748147369715
rus+nb,0.6797545887358832,0.031349574789571094,0.6415649236079746,0.047093822769120164
SMTBoost,0.5491061671361805,0.02457264520215733,0.3107485046928823,0.08771219262019045
RUSBoost,0.6165456221996549,0.040209779359633255,0.5532737481804618,0.08664051759447451
BalancedRF,0.7677706912595195,0.027932101460059134,0.7636046859327056,0.03009510835854293
log+BalancedRF,0.7700581717809829,0.03049351203785107,0.7663500546494756,0.03324825199730221
log+ERUS,0.7300957101569084,0.03196094347152498,0.7230765409515797,0.03530791374461995
log+prop,0.7398953691675276,0.024318935482928225,0.7360591056879342,0.02589543457042134
